調査年 コード,調査年,地域 コード,地域,総面積,耕地面積
2021100000,2021年度,3482,岩手県 山田町,26281,434
2021100000,2021年度,3483,岩手県 岩泉町,99236,2030
2021100000,2021年度,3484,岩手県 田野畑村,15619,677
2021100000,2021年度,3485,岩手県 普代村,6966,246
2021100000,2021年度,3501,岩手県 軽米町,24582,2240
2021100000,2021年度,3503,岩手県 野田村,8080,368
2021100000,2021年度,3506,岩手県 九戸村,13402,1620
2021100000,2021年度,3507,岩手県 洋野町,30292,2980
2021100000,2021年度,3524,岩手県 一戸町,30003,3570
2021100000,2021年度,4100,宮城県 仙台市,78635,5790
2021100000,2021年度,4101,宮城県 仙台市 青葉区,30224,-
2021100000,2021年度,4102,宮城県 仙台市 宮城野区,5825,-
2021100000,2021年度,4103,宮城県 仙台市 若林区,5086,-
2021100000,2021年度,4104,宮城県 仙台市 太白区,22839,-
2021100000,2021年度,4105,宮城県 仙台市 泉区,14661,-
2021100000,2021年度,4202,宮城県 石巻市,55455,9720
2021100000,2021年度,4203,宮城県 塩竈市,1737,21
2021100000,2021年度,4205,宮城県 気仙沼市,33244,1570
2021100000,2021年度,4206,宮城県 白石市,28648,3030
2021100000,2021年度,4207,宮城県 名取市,9818,2790
2021100000,2021年度,4208,宮城県 角田市,14753,4410
2021100000,2021年度,4209,宮城県 多賀城市,1969,318
2021100000,2021年度,4211,宮城県 岩沼市,6045,1510
2021100000,2021年度,4212,宮城県 登米市,53612,17600
2021100000,2021年度,4213,宮城県 栗原市,80497,17400
2021100000,2021年度,4214,宮城県 東松島市,10130,2820
2021100000,2021年度,4215,宮城県 大崎市,79681,18400
2021100000,2021年度,4216,宮城県 富谷市,4918,649
2021100000,2021年度,4301,宮城県 蔵王町,15283,2110
2021100000,2021年度,4302,宮城県 七ヶ宿町,26309,517
2021100000,2021年度,4321,宮城県 大河原町,2499,555
2021100000,2021年度,4322,宮城県 村田町,7838,1260
2021100000,2021年度,4323,宮城県 柴田町,5403,939
2021100000,2021年度,4324,宮城県 川崎町,27077,1690
2021100000,2021年度,4341,宮城県 丸森町,27330,2400
2021100000,2021年度,4361,宮城県 亘理町,7360,3180
2021100000,2021年度,4362,宮城県 山元町,6458,1870
2021100000,2021年度,4401,宮城県 松島町,5356,935
2021100000,2021年度,4404,宮城県 七ヶ浜町,1319,147
2021100000,2021年度,4406,宮城県 利府町,4489,376
2021100000,2021年度,4421,宮城県 大和町,22549,2200
2021100000,2021年度,4422,宮城県 大郷町,8201,2060
2021100000,2021年度,4424,宮城県 大衡村,6032,1320
2021100000,2021年度,4444,宮城県 色麻町,10928,2830
2021100000,2021年度,4445,宮城県 加美町,46067,6140
2021100000,2021年度,4501,宮城県 涌谷町,8216,3270
2021100000,2021年度,4505,宮城県 美里町,7499,4940
2021100000,2021年度,4581,宮城県 女川町,6535,4
2021100000,2021年度,4606,宮城県 南三陸町,16340,829
2021100000,2021年度,5201,秋田県 秋田市,90607,8880
2021100000,2021年度,5202,秋田県 能代市,42695,7530
2021100000,2021年度,5203,秋田県 横手市,69280,17600
2021100000,2021年度,5204,秋田県 大館市,91322,7630
2021100000,2021年度,5206,秋田県 男鹿市,24109,4650
2021100000,2021年度,5207,秋田県 湯沢市,79091,6530
2021100000,2021年度,5209,秋田県 鹿角市,70752,6120
2021100000,2021年度,5210,秋田県 由利本荘市,120959,12500
2021100000,2021年度,5211,秋田県 潟上市,9772,3340
2021100000,2021年度,5212,秋田県 大仙市,86679,19700
2021100000,2021年度,5213,秋田県 北秋田市,115276,6140
2021100000,2021年度,5214,秋田県 にかほ市,24113,3690
2021100000,2021年度,5215,秋田県 仙北市,109356,5430
2021100000,2021年度,5303,秋田県 小坂町,20170,841
2021100000,2021年度,5327,秋田県 上小阿仁村,25672,523
2021100000,2021年度,5346,秋田県 藤里町,28213,975
2021100000,2021年度,5348,秋田県 三種町,24798,5840
2021100000,2021年度,5349,秋田県 八峰町,23414,2100
2021100000,2021年度,5361,秋田県 五城目町,21492,1770
2021100000,2021年度,5363,秋田県 八郎潟町,1700,806
2021100000,2021年度,5366,秋田県 井川町,4795,1260
2021100000,2021年度,5368,秋田県 大潟村,17011,11500
2021100000,2021年度,5434,秋田県 美郷町,16832,6520
2021100000,2021年度,5463,秋田県 羽後町,23078,3900
2021100000,2021年度,5464,秋田県 東成瀬村,20369,578
2021100000,2021年度,6201,山形県 山形市,38130,5070
2021100000,2021年度,6202,山形県 米沢市,54851,4440
2021100000,2021年度,6203,山形県 鶴岡市,131151,18000
2021100000,2021年度,6204,山形県 酒田市,60297,11900
2021100000,2021年度,6205,山形県 新庄市,22285,5390
2021100000,2021年度,6206,山形県 寒河江市,13903,2520
2021100000,2021年度,6207,山形県 上山市,24093,2190
2021100000,2021年度,6208,山形県 村山市,19698,3730
2021100000,2021年度,6209,山形県 長井市,21467,2940
2021100000,2021年度,6210,山形県 天童市,11302,3440
2021100000,2021年度,6211,山形県 東根市,20694,3000
2021100000,2021年度,6212,山形県 尾花沢市,37253,5340
2021100000,2021年度,6213,山形県 南陽市,16052,2610
2021100000,2021年度,6301,山形県 山辺町,6145,760
2021100000,2021年度,6302,山形県 中山町,3115,971
2021100000,2021年度,6321,山形県 河北町,5245,1770
2021100000,2021年度,6322,山形県 西川町,39319,481
2021100000,2021年度,6323,山形県 朝日町,19681,1050
2021100000,2021年度,6324,山形県 大江町,15408,828
2021100000,2021年度,6341,山形県 大石田町,7954,1670
2021100000,2021年度,6361,山形県 金山町,16167,1630
2021100000,2021年度,6362,山形県 最上町,33037,2350
2021100000,2021年度,6363,山形県 舟形町,11904,1470
2021100000,2021年度,6364,山形県 真室川町,37422,2100
2021100000,2021年度,6365,山形県 大蔵村,21163,1230
2021100000,2021年度,6366,山形県 鮭川村,12214,2000
2021100000,2021年度,6367,山形県 戸沢村,26131,1480
2021100000,2021年度,6381,山形県 高畠町,18026,3780
2021100000,2021年度,6382,山形県 川西町,16660,4910
2021100000,2021年度,6401,山形県 小国町,73756,1030
2021100000,2021年度,6402,山形県 白鷹町,15771,1870
2021100000,2021年度,6403,山形県 飯豊町,32941,2090
2021100000,2021年度,6426,山形県 三川町,3322,2210
2021100000,2021年度,6428,山形県 庄内町,24917,5720
2021100000,2021年度,6461,山形県 遊佐町,20839,3870
2021100000,2021年度,7201,福島県 福島市,76772,6780
2021100000,2021年度,7202,福島県 会津若松市,38297,6770
2021100000,2021年度,7203,福島県 郡山市,75720,12000
2021100000,2021年度,7204,福島県 いわき市,123226,7510
2021100000,2021年度,7205,福島県 白河市,30532,5380
2021100000,2021年度,7207,福島県 須賀川市,27943,7050
