調査年 コード,調査年,地域 コード,地域,事業所数,事業所数（宿泊業、飲食サービス業）,農家数（販売農家）,標準財政規模,人口密度,65歳以上人口割合,第3次産業就業者比率
2020100000,2020年度,1609,北海道 えりも町,***,***,***,2957479,121,32.876,42.41
2020100000,2020年度,1610,北海道 新ひだか町,***,***,***,9358692,92.7,35.358,64.26
2020100000,2020年度,1631,北海道 音更町,***,***,***,12456743,130,29.62,68.29
2020100000,2020年度,1632,北海道 士幌町,***,***,***,4370792,29.5,33.14,44.55
2020100000,2020年度,1633,北海道 上士幌町,***,***,***,4038759,25.8,35.37,52.24
2020100000,2020年度,1634,北海道 鹿追町,***,***,***,4008229,32.2,30.934,55.84
2020100000,2020年度,1635,北海道 新得町,***,***,***,4780688,26.6,37.803,64.4
2020100000,2020年度,1636,北海道 清水町,***,***,***,4857778,40.6,37.255,52.28
2020100000,2020年度,1637,北海道 芽室町,***,***,***,7361260,62.5,30.668,56.28
2020100000,2020年度,1638,北海道 中札内村,***,***,***,2597779,30.5,28.785,53.34
2020100000,2020年度,1639,北海道 更別村,***,***,***,2863173,21.1,31.461,45.48
2020100000,2020年度,1641,北海道 大樹町,***,***,***,4283929,22.3,36.587,49.74
2020100000,2020年度,1642,北海道 広尾町,***,***,***,4573604,51.4,39.408,54.85
2020100000,2020年度,1643,北海道 幕別町,***,***,***,9814395,81.4,33.602,64.26
2020100000,2020年度,1644,北海道 池田町,***,***,***,4065881,45.8,43.581,58.79
2020100000,2020年度,1645,北海道 豊頃町,***,***,***,3062876,16.3,39.444,44.87
2020100000,2020年度,1646,北海道 本別町,***,***,***,4066714,38.5,41.644,55.56
2020100000,2020年度,1647,北海道 足寄町,***,***,***,5420533,29.3,39.89,58.87
2020100000,2020年度,1648,北海道 陸別町,***,***,***,2587021,24,39.134,58.04
2020100000,2020年度,1649,北海道 浦幌町,***,***,***,4060868,24.9,42.512,48.55
2020100000,2020年度,1661,北海道 釧路町,***,***,***,5627898,427.8,29.856,72.8
2020100000,2020年度,1662,北海道 厚岸町,***,***,***,5376878,46.4,35.785,48.98
2020100000,2020年度,1663,北海道 浜中町,***,***,***,4279223,28.3,31.941,33.57
2020100000,2020年度,1664,北海道 標茶町,***,***,***,5909617,20,34.232,52.78
2020100000,2020年度,1665,北海道 弟子屈町,***,***,***,4827425,43.1,41.035,69.3
2020100000,2020年度,1667,北海道 鶴居村,***,***,***,2547201,21.8,35.575,56.38
2020100000,2020年度,1668,北海道 白糠町,***,***,***,4625819,71,42.022,57.31
2020100000,2020年度,1691,北海道 別海町,***,***,***,9511029,17.9,27.761,46.32
2020100000,2020年度,1692,北海道 中標津町,***,***,***,8513704,64.8,26.732,67.91
2020100000,2020年度,1693,北海道 標津町,***,***,***,4061891,24,31.276,52.05
2020100000,2020年度,1694,北海道 羅臼町,***,***,***,2599795,40,31.427,42.88
2020100000,2020年度,2201,青森県 青森市,***,***,***,67915309,1061.4,30.81,80.47
2020100000,2020年度,2202,青森県 弘前市,***,***,***,42413169,573,32.008,66.31
2020100000,2020年度,2203,青森県 八戸市,***,***,***,52691000,1098.1,31.031,73.19
2020100000,2020年度,2204,青森県 黒石市,***,***,***,9024919,438.2,34.255,60.14
2020100000,2020年度,2205,青森県 五所川原市,***,***,***,17038187,300,35.715,65.63
2020100000,2020年度,2206,青森県 十和田市,***,***,***,18234083,303.1,33.655,63.45
2020100000,2020年度,2207,青森県 三沢市,***,***,***,10627700,400.2,26.525,68.03
2020100000,2020年度,2208,青森県 むつ市,***,***,***,17280563,388.6,33.73,74.3
2020100000,2020年度,2209,青森県 つがる市,***,***,***,12683361,144.8,38.799,51.81
2020100000,2020年度,2210,青森県 平川市,***,***,***,10377068,320.6,35.257,54.41
2020100000,2020年度,2301,青森県 平内町,***,***,***,4211567,217,41.122,52.15
2020100000,2020年度,2303,青森県 今別町,***,***,***,1837356,129.1,55.27,58.57
2020100000,2020年度,2304,青森県 蓬田村,***,***,***,1579959,129.6,42.402,49.88
2020100000,2020年度,2307,青森県 外ヶ浜町,***,***,***,3872450,178.2,50.916,56.04
2020100000,2020年度,2321,青森県 鰺ヶ沢町,***,***,***,4269117,113.3,44.604,61.26
2020100000,2020年度,2323,青森県 深浦町,***,***,***,4530695,113.1,50.721,58.06
2020100000,2020年度,2343,青森県 西目屋村,***,***,***,1220681,63.3,39.605,50.58
2020100000,2020年度,2361,青森県 藤崎町,***,***,***,4830222,390.8,32.917,57.2
2020100000,2020年度,2362,青森県 大鰐町,***,***,***,3653910,236,43.52,57.12
2020100000,2020年度,2367,青森県 田舎館村,***,***,***,2506623,327.8,36.022,55.59
2020100000,2020年度,2381,青森県 板柳町,***,***,***,4076799,303.2,37.969,46.8
2020100000,2020年度,2384,青森県 鶴田町,***,***,***,4007405,266.9,37.891,48.89
2020100000,2020年度,2387,青森県 中泊町,***,***,***,4672162,143,44.413,51.76
2020100000,2020年度,2401,青森県 野辺地町,***,***,***,3990062,450.9,38.088,65.59
2020100000,2020年度,2402,青森県 七戸町,***,***,***,6637840,125.1,40.829,57.21
2020100000,2020年度,2405,青森県 六戸町,***,***,***,3732446,183,33.799,56.52
