調査年 コード,調査年,地域 コード,地域,人口密度,65歳以上人口割合,標準財政規模,第1次産業就業者比率
2020100000,2020年度,25209,滋賀県 甲賀市,559.5,28.191,25594517,3.58
2020100000,2020年度,25210,滋賀県 野洲市,1050.2,26.11,12942154,3.12
2020100000,2020年度,25211,滋賀県 湖南市,1610.8,24.581,13258327,1.34
2020100000,2020年度,25212,滋賀県 高島市,392.7,35.897,17194976,6.02
2020100000,2020年度,25213,滋賀県 東近江市,684.2,26.777,31022590,3.88
2020100000,2020年度,25214,滋賀県 米原市,568.6,29.706,12982217,3.19
2020100000,2020年度,25383,滋賀県 日野町,372,30.643,6348434,5.07
2020100000,2020年度,25384,滋賀県 竜王町,399.2,28.119,4579506,6.16
2020100000,2020年度,25425,滋賀県 愛荘町,730.8,21.993,5952754,2.35
2020100000,2020年度,25441,滋賀県 豊郷町,914.4,27.804,2421661,2.77
2020100000,2020年度,25442,滋賀県 甲良町,535.5,33.291,2442969,4.14
2020100000,2020年度,25443,滋賀県 多賀町,368.1,33.874,3221515,4.12
2020100000,2020年度,26100,京都府 京都市,6726,26.945,405033797,0.76
2020100000,2020年度,26101,京都府 京都市 北区,7309.1,27.905,-,1.32
2020100000,2020年度,26102,京都府 京都市 上京区,11924.9,26.355,-,0.26
2020100000,2020年度,26103,京都府 京都市 左京区,5269.4,26.943,-,0.67
2020100000,2020年度,26104,京都府 京都市 中京区,14910.7,23.446,-,0.14
2020100000,2020年度,26105,京都府 京都市 東山区,6203.7,31.389,-,0.27
2020100000,2020年度,26106,京都府 京都市 下京区,12210,21.534,-,0.17
2020100000,2020年度,26107,京都府 京都市 南区,6449.7,25.1,-,0.71
2020100000,2020年度,26108,京都府 京都市 右京区,5275.4,27.165,-,1.07
2020100000,2020年度,26109,京都府 京都市 伏見区,5901.8,28.295,-,0.94
2020100000,2020年度,26110,京都府 京都市 山科区,8970.8,29.798,-,0.74
2020100000,2020年度,26111,京都府 京都市 西京区,5609.8,26.897,-,0.96
2020100000,2020年度,26201,京都府 福知山市,574.8,29.718,24054345,4.39
2020100000,2020年度,26202,京都府 舞鶴市,1107.2,31.665,19563542,3.49
2020100000,2020年度,26203,京都府 綾部市,393.4,38.664,9837425,7.59
2020100000,2020年度,26204,京都府 宇治市,5300.4,29.95,36132661,0.74
2020100000,2020年度,26205,京都府 宮津市,492.6,43.233,6206195,6.53
2020100000,2020年度,26206,京都府 亀岡市,1200.5,30.124,19288469,4.19
2020100000,2020年度,26207,京都府 城陽市,3311.5,33.65,16100365,1.79
2020100000,2020年度,26208,京都府 向日市,8361.6,26.669,12064187,0.98
2020100000,2020年度,26209,京都府 長岡京市,7165.2,27.319,17339996,1.02
2020100000,2020年度,26210,京都府 八幡市,3102.8,31.312,15574245,2.05
2020100000,2020年度,26211,京都府 京田辺市,2473.3,23.472,15615128,1.9
2020100000,2020年度,26212,京都府 京丹後市,416.4,37.932,20382297,7.3
2020100000,2020年度,26213,京都府 南丹市,425.2,35.218,13991176,8.89
2020100000,2020年度,26214,京都府 木津川市,1486.8,24.629,18088823,3.29
2020100000,2020年度,26303,京都府 大山崎町,3900.5,27.274,4135554,0.96
2020100000,2020年度,26322,京都府 久御山町,1118.9,31.967,5340508,7.31
2020100000,2020年度,26343,京都府 井手町,1074.9,34.594,2539760,3.39
2020100000,2020年度,26344,京都府 宇治田原町,619.7,30.109,3060235,5.26
2020100000,2020年度,26364,京都府 笠置町,242.9,50.874,925016,5.33
2020100000,2020年度,26365,京都府 和束町,204.6,47.585,2102064,24.93
2020100000,2020年度,26366,京都府 精華町,1886.3,24.96,8715960,2.1
2020100000,2020年度,26367,京都府 南山城村,132.8,48.432,1645587,16.76
2020100000,2020年度,26407,京都府 京丹波町,247,44.201,6887248,13.12
2020100000,2020年度,26463,京都府 伊根町,178.5,48.444,1736857,26.11
2020100000,2020年度,26465,京都府 与謝野町,786.1,37.547,7673899,3.55
2020100000,2020年度,27100,大阪府 大阪市,12215.6,24.59,864930635,0.11
2020100000,2020年度,27102,大阪府 大阪市 都島区,17747.4,23.533,-,0.08
2020100000,2020年度,27103,大阪府 大阪市 福島区,16986.7,18.499,-,0.08
2020100000,2020年度,27104,大阪府 大阪市 此花区,3384.4,27.247,-,0.13
2020100000,2020年度,27106,大阪府 大阪市 西区,20319,14.624,-,0.05
2020100000,2020年度,27107,大阪府 大阪市 港区,10298.7,26.599,-,0.06
2020100000,2020年度,27108,大阪府 大阪市 大正区,6583.6,31.935,-,0.08
2020100000,2020年度,27109,大阪府 大阪市 天王寺区,16972.7,18.654,-,0.05
2020100000,2020年度,27111,大阪府 大阪市 浪速区,17199.1,17.512,-,0.06
2020100000,2020年度,27113,大阪府 大阪市 西淀川区,6746.2,25.483,-,0.1
2020100000,2020年度,27114,大阪府 大阪市 東淀川区,13347.4,23.892,-,0.11
2020100000,2020年度,27115,大阪府 大阪市 東成区,18701.8,24.346,-,0.08
