調査年 コード,調査年,地域 コード,地域,C3107_耕地面積【ｈａ】
2021100000,2021年度,5206,秋田県 男鹿市,4650
2021100000,2021年度,5207,秋田県 湯沢市,6530
2021100000,2021年度,5209,秋田県 鹿角市,6120
2021100000,2021年度,5210,秋田県 由利本荘市,12500
2021100000,2021年度,5211,秋田県 潟上市,3340
2021100000,2021年度,5212,秋田県 大仙市,19700
2021100000,2021年度,5213,秋田県 北秋田市,6140
2021100000,2021年度,5214,秋田県 にかほ市,3690
2021100000,2021年度,5215,秋田県 仙北市,5430
2021100000,2021年度,5303,秋田県 小坂町,841
2021100000,2021年度,5327,秋田県 上小阿仁村,523
2021100000,2021年度,5346,秋田県 藤里町,975
2021100000,2021年度,5348,秋田県 三種町,5840
2021100000,2021年度,5349,秋田県 八峰町,2100
2021100000,2021年度,5361,秋田県 五城目町,1770
2021100000,2021年度,5363,秋田県 八郎潟町,806
2021100000,2021年度,5366,秋田県 井川町,1260
2021100000,2021年度,5368,秋田県 大潟村,11500
2021100000,2021年度,5434,秋田県 美郷町,6520
2021100000,2021年度,5463,秋田県 羽後町,3900
2021100000,2021年度,5464,秋田県 東成瀬村,578
2021100000,2021年度,6201,山形県 山形市,5070
2021100000,2021年度,6202,山形県 米沢市,4440
2021100000,2021年度,6203,山形県 鶴岡市,18000
2021100000,2021年度,6204,山形県 酒田市,11900
2021100000,2021年度,6205,山形県 新庄市,5390
2021100000,2021年度,6206,山形県 寒河江市,2520
2021100000,2021年度,6207,山形県 上山市,2190
2021100000,2021年度,6208,山形県 村山市,3730
2021100000,2021年度,6209,山形県 長井市,2940
2021100000,2021年度,6210,山形県 天童市,3440
2021100000,2021年度,6211,山形県 東根市,3000
2021100000,2021年度,6212,山形県 尾花沢市,5340
2021100000,2021年度,6213,山形県 南陽市,2610
2021100000,2021年度,6301,山形県 山辺町,760
2021100000,2021年度,6302,山形県 中山町,971
2021100000,2021年度,6321,山形県 河北町,1770
2021100000,2021年度,6322,山形県 西川町,481
2021100000,2021年度,6323,山形県 朝日町,1050
2021100000,2021年度,6324,山形県 大江町,828
2021100000,2021年度,6341,山形県 大石田町,1670
2021100000,2021年度,6361,山形県 金山町,1630
2021100000,2021年度,6362,山形県 最上町,2350
2021100000,2021年度,6363,山形県 舟形町,1470
2021100000,2021年度,6364,山形県 真室川町,2100
2021100000,2021年度,6365,山形県 大蔵村,1230
2021100000,2021年度,6366,山形県 鮭川村,2000
2021100000,2021年度,6367,山形県 戸沢村,1480
2021100000,2021年度,6381,山形県 高畠町,3780
2021100000,2021年度,6382,山形県 川西町,4910
2021100000,2021年度,6401,山形県 小国町,1030
2021100000,2021年度,6402,山形県 白鷹町,1870
2021100000,2021年度,6403,山形県 飯豊町,2090
2021100000,2021年度,6426,山形県 三川町,2210
2021100000,2021年度,6428,山形県 庄内町,5720
2021100000,2021年度,6461,山形県 遊佐町,3870
2021100000,2021年度,7201,福島県 福島市,6780
2021100000,2021年度,7202,福島県 会津若松市,6770
2021100000,2021年度,7203,福島県 郡山市,12000
2021100000,2021年度,7204,福島県 いわき市,7510
2021100000,2021年度,7205,福島県 白河市,5380
2021100000,2021年度,7207,福島県 須賀川市,7050
2021100000,2021年度,7208,福島県 喜多方市,8120
2021100000,2021年度,7209,福島県 相馬市,3340
2021100000,2021年度,7210,福島県 二本松市,5340
2021100000,2021年度,7211,福島県 田村市,5430
2021100000,2021年度,7212,福島県 南相馬市,6790
2021100000,2021年度,7213,福島県 伊達市,3990
2021100000,2021年度,7214,福島県 本宮市,2110
2021100000,2021年度,7301,福島県 桑折町,997
2021100000,2021年度,7303,福島県 国見町,1090
2021100000,2021年度,7308,福島県 川俣町,1140
2021100000,2021年度,7322,福島県 大玉村,1610
2021100000,2021年度,7342,福島県 鏡石町,1310
2021100000,2021年度,7344,福島県 天栄村,1210
2021100000,2021年度,7362,福島県 下郷町,1110
2021100000,2021年度,7364,福島県 檜枝岐村,9
2021100000,2021年度,7367,福島県 只見町,613
2021100000,2021年度,7368,福島県 南会津町,2000
2021100000,2021年度,7402,福島県 北塩原村,433
2021100000,2021年度,7405,福島県 西会津町,1200
2021100000,2021年度,7407,福島県 磐梯町,741
2021100000,2021年度,7408,福島県 猪苗代町,3240
2021100000,2021年度,7421,福島県 会津坂下町,3470
2021100000,2021年度,7422,福島県 湯川村,1090
2021100000,2021年度,7423,福島県 柳津町,588
2021100000,2021年度,7444,福島県 三島町,149
2021100000,2021年度,7445,福島県 金山町,302
2021100000,2021年度,7446,福島県 昭和村,413
2021100000,2021年度,7447,福島県 会津美里町,4140
2021100000,2021年度,7461,福島県 西郷村,1950
2021100000,2021年度,7464,福島県 泉崎村,1160
2021100000,2021年度,7465,福島県 中島村,930
2021100000,2021年度,7466,福島県 矢吹町,2260
2021100000,2021年度,7481,福島県 棚倉町,1380
2021100000,2021年度,7482,福島県 矢祭町,741
2021100000,2021年度,7483,福島県 塙町,1330
2021100000,2021年度,7484,福島県 鮫川村,1170
2021100000,2021年度,7501,福島県 石川町,1970
2021100000,2021年度,7502,福島県 玉川村,749
2021100000,2021年度,7503,福島県 平田村,1400
2021100000,2021年度,7504,福島県 浅川町,838
2021100000,2021年度,7505,福島県 古殿町,758
2021100000,2021年度,7521,福島県 三春町,1060
2021100000,2021年度,7522,福島県 小野町,1350
2021100000,2021年度,7541,福島県 広野町,278
2021100000,2021年度,7542,福島県 楢葉町,649
2021100000,2021年度,7543,福島県 富岡町,908
2021100000,2021年度,7544,福島県 川内村,854
2021100000,2021年度,7545,福島県 大熊町,1080
2021100000,2021年度,7546,福島県 双葉町,703
2021100000,2021年度,7547,福島県 浪江町,2380
2021100000,2021年度,7548,福島県 葛尾村,589
2021100000,2021年度,7561,福島県 新地町,1190
2021100000,2021年度,7564,福島県 飯舘村,2210
2021100000,2021年度,8201,茨城県 水戸市,6280
2021100000,2021年度,8202,茨城県 日立市,880
2021100000,2021年度,8203,茨城県 土浦市,2960
2021100000,2021年度,8204,茨城県 古河市,4830
2021100000,2021年度,8205,茨城県 石岡市,6200
2021100000,2021年度,8207,茨城県 結城市,3330
2021100000,2021年度,8208,茨城県 龍ケ崎市,2630
2021100000,2021年度,8210,茨城県 下妻市,4000
2021100000,2021年度,8211,茨城県 常総市,5800
2021100000,2021年度,8212,茨城県 常陸太田市,4770
2021100000,2021年度,8214,茨城県 高萩市,673
2021100000,2021年度,8215,茨城県 北茨城市,1280
2021100000,2021年度,8216,茨城県 笠間市,5010
2021100000,2021年度,8217,茨城県 取手市,2180
2021100000,2021年度,8219,茨城県 牛久市,1320
2021100000,2021年度,8220,茨城県 つくば市,10000
2021100000,2021年度,8221,茨城県 ひたちなか市,2400
2021100000,2021年度,8222,茨城県 鹿嶋市,2060
2021100000,2021年度,8223,茨城県 潮来市,2070
2021100000,2021年度,8224,茨城県 守谷市,668
2021100000,2021年度,8225,茨城県 常陸大宮市,3590
2021100000,2021年度,8226,茨城県 那珂市,4100
2021100000,2021年度,8227,茨城県 筑西市,11200
2021100000,2021年度,8228,茨城県 坂東市,5530
2021100000,2021年度,8229,茨城県 稲敷市,8570
2021100000,2021年度,8230,茨城県 かすみがうら市,4380
2021100000,2021年度,8231,茨城県 桜川市,5170
2021100000,2021年度,8232,茨城県 神栖市,2520
2021100000,2021年度,8233,茨城県 行方市,6410
2021100000,2021年度,8234,茨城県 鉾田市,8540
2021100000,2021年度,8235,茨城県 つくばみらい市,3480
2021100000,2021年度,8236,茨城県 小美玉市,5300
2021100000,2021年度,8302,茨城県 茨城町,4980
2021100000,2021年度,8309,茨城県 大洗町,514
2021100000,2021年度,8310,茨城県 城里町,2400
2021100000,2021年度,8341,茨城県 東海村,923
2021100000,2021年度,8364,茨城県 大子町,1930
2021100000,2021年度,8442,茨城県 美浦村,1110
2021100000,2021年度,8443,茨城県 阿見町,1760
2021100000,2021年度,8447,茨城県 河内町,2810
2021100000,2021年度,8521,茨城県 八千代町,3520
2021100000,2021年度,8542,茨城県 五霞町,914
2021100000,2021年度,8546,茨城県 境町,2180
2021100000,2021年度,8564,茨城県 利根町,1190
2021100000,2021年度,9201,栃木県 宇都宮市,11900
2021100000,2021年度,9202,栃木県 足利市,2230
2021100000,2021年度,9203,栃木県 栃木市,9630
2021100000,2021年度,9204,栃木県 佐野市,4050
2021100000,2021年度,9205,栃木県 鹿沼市,5450
2021100000,2021年度,9206,栃木県 日光市,5420
2021100000,2021年度,9208,栃木県 小山市,7730
2021100000,2021年度,9209,栃木県 真岡市,7940
2021100000,2021年度,9210,栃木県 大田原市,10900
2021100000,2021年度,9211,栃木県 矢板市,2980
2021100000,2021年度,9213,栃木県 那須塩原市,9530
2021100000,2021年度,9214,栃木県 さくら市,5250
2021100000,2021年度,9215,栃木県 那須烏山市,3690
2021100000,2021年度,9216,栃木県 下野市,3790
2021100000,2021年度,9301,栃木県 上三川町,2620
2021100000,2021年度,9342,栃木県 益子町,2180
2021100000,2021年度,9343,栃木県 茂木町,1890
2021100000,2021年度,9344,栃木県 市貝町,1880
2021100000,2021年度,9345,栃木県 芳賀町,3720
2021100000,2021年度,9361,栃木県 壬生町,2760
2021100000,2021年度,9364,栃木県 野木町,1160
2021100000,2021年度,9384,栃木県 塩谷町,2710
2021100000,2021年度,9386,栃木県 高根沢町,3930
2021100000,2021年度,9407,栃木県 那須町,5480
2021100000,2021年度,9411,栃木県 那珂川町,2790
2021100000,2021年度,10201,群馬県 前橋市,8260
2021100000,2021年度,10202,群馬県 高崎市,5900
2021100000,2021年度,10203,群馬県 桐生市,1400
2021100000,2021年度,10204,群馬県 伊勢崎市,4310
2021100000,2021年度,10205,群馬県 太田市,5850
2021100000,2021年度,10206,群馬県 沼田市,3070
2021100000,2021年度,10207,群馬県 館林市,2230
2021100000,2021年度,10208,群馬県 渋川市,3770
2021100000,2021年度,10209,群馬県 藤岡市,1780
2021100000,2021年度,10210,群馬県 富岡市,1960
2021100000,2021年度,10211,群馬県 安中市,3380
2021100000,2021年度,10212,群馬県 みどり市,957
2021100000,2021年度,10344,群馬県 榛東村,604
2021100000,2021年度,10345,群馬県 吉岡町,517
2021100000,2021年度,10366,群馬県 上野村,59
2021100000,2021年度,10367,群馬県 神流町,69
2021100000,2021年度,10382,群馬県 下仁田町,536
2021100000,2021年度,10383,群馬県 南牧村,85
2021100000,2021年度,10384,群馬県 甘楽町,920
2021100000,2021年度,10421,群馬県 中之条町,1200
